sample_id,language,source_proverb,gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
YOR0173,Yoruba,"Ara-àìbalẹ̀, olórí àrùn.",No disease is greater than hyperactivity.,"[""It is pointless to be secretive about something everybody already knows about."", ""Offer no braggart any opportunity to resume his bragging."", ""The best treatment for a recalcitrant person is to shun him or her.""]",False,S1,The best treatment for a recalcitrant person is to shun him or her.,No disease is greater than hyperactivity.,Offer no braggart any opportunity to resume his bragging.,It is pointless to be secretive about something everybody already knows about.,B
YOR0423,Yoruba,"Ohun tó ṣeé faga là ńfaga sí; èwo ni, ‘‘Ìwòyí àná mo ti na ànaà mi fága-fàga’’? ",One should not cheerfully and boastfully embrace disgrace.,"[""The best treatment for a recalcitrant person is to shun him or her."", ""Nothing teaches caution like a mishap."", ""In considering a prob lem, one must look at the root causes, not only the manifestations.""]",False,S1,The best treatment for a recalcitrant person is to shun him or her.,Nothing teaches caution like a mishap.,One should not cheerfully and boastfully embrace disgrace.,"In considering a prob lem, one must look at the root causes, not only the manifestations.",C
YOR3900,Yoruba,Ẹṣin kì í kọ eré àsárelé,Nobody refuses an exertion that has a great reward at its conclusion.,"[""Honesty seldom makes one popular."", ""One seeks a quarrel when one laughs at others with whom one does not share a joking relationship."", ""The minor official should not impose on people more than the important officials do. ""]",False,S1,Honesty seldom makes one popular.,One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,The minor official should not impose on people more than the important officials do. ,Nobody refuses an exertion that has a great reward at its conclusion.,D
YOR3498,Yoruba,Ẹni tó mọ iyì-i wúrà là ńtà á fún.,Do not squander treasure on those incapable of appreciating it.,"[""A disfigurement that afflicts one in the most conspicuous place will surely be laughed at."", ""There is little one can do about a problem whose outcome is inevitable."", ""Grati tude is superfluous among close friends or relatives.""]",False,S1,There is little one can do about a problem whose outcome is inevitable.,Do not squander treasure on those incapable of appreciating it.,Grati tude is superfluous among close friends or relatives.,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,B
YOR2511,Yoruba,"Ẹni tí ó ńríni là ńrín; èèyàn tí kò rín èèyàn,aògbọd rín in; ẹ̀rín di méjì a dìjà.",One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,"[""Grati tude is superfluous among close friends or relatives."", ""Do not make gifts of commodities purchased for trade. "", ""The earthen idol has no mouth to speak; lies are lying to lies.""]",False,S1,Grati tude is superfluous among close friends or relatives.,One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,Do not make gifts of commodities purchased for trade. ,The earthen idol has no mouth to speak; lies are lying to lies.,B
YOR1777,Yoruba,"Kí á ṣá a ṣá a, kí á gbọ̀n ọ́n gbọ̀n ọ́n; ká fi oko eéran sílẹ̀ ló dá eéran lára.",The best treatment for a recalcitrant person is to shun him or her.,"[""Those who hang together will not hang separately."", ""All relationships entail irri tants and require some capacity for accom modation."", ""No disease is greater than hyperactivity.""]",False,S1,The best treatment for a recalcitrant person is to shun him or her.,No disease is greater than hyperactivity.,All relationships entail irri tants and require some capacity for accom modation.,Those who hang together will not hang separately.,A
YOR0203,Yoruba,"Bí a kò bá dáṣọ lé aṣọ, a kì í pe ọ̀kan lákìísà.",One may not disdain an old tool until one is able to replace it.,"[""Wickedness and kindness will be rewarded unfailingly."", ""Nothing teaches caution like a mishap."", ""No disease is greater than hyperactivity.""]",False,S1,Nothing teaches caution like a mishap.,One may not disdain an old tool until one is able to replace it.,Wickedness and kindness will be rewarded unfailingly.,No disease is greater than hyperactivity.,B
YOR1723,Yoruba,Ṣìgìdì ò l nu fọhùn; ir ńpur fúnr.,The earthen idol has no mouth to speak; lies are lying to lies.,"[""A good deed that en tails hardly any cost is easily and cheerfully performed."", ""One should not cheerfully and boastfully embrace disgrace."", ""No one is as great or knowledgeable as God.""]",False,S1,The earthen idol has no mouth to speak; lies are lying to lies.,A good deed that en tails hardly any cost is easily and cheerfully performed.,No one is as great or knowledgeable as God.,One should not cheerfully and boastfully embrace disgrace.,A
YOR1566,Yoruba,Àjànàkú kúro ni ‘‘A rí ǹkan fìrí’’; bí a bá rérin ká wí.,Don’t hedge when discussing the obvious.,"[""One may not disdain an old tool until one is able to replace it."", ""Nothing teaches caution like a mishap."", ""Do not expect impartial witnessing from an interested party.""]",False,S1,Don’t hedge when discussing the obvious.,Nothing teaches caution like a mishap.,Do not expect impartial witnessing from an interested party.,One may not disdain an old tool until one is able to replace it.,A
YOR0581,Yoruba,A kì í sọ pé abẹ Ọ̀yọ́ mú; nígbà náà ni yó sọ pé bẹ́ẹ̀ ni òun ò n ò tíì pọn.,Offer no braggart any opportunity to resume his bragging.,"[""One should be wary about trusting people."", ""Self-sufficiency is far better than fortunate opportunism."", ""One should discharge one’s obligations before indulging in extravagance.""]",False,S1,Offer no braggart any opportunity to resume his bragging.,One should discharge one’s obligations before indulging in extravagance.,Self-sufficiency is far better than fortunate opportunism.,One should be wary about trusting people.,A
YOR1821,Yoruba,"Tìkà toore, ọ̀kan kì í gbé.",Wickedness and kindness will be rewarded unfailingly.,"[""There is little one can do about a problem whose outcome is inevitable."", ""Nothing teaches caution like a mishap."", ""One must not ignore matters of grave concern to oneself.""]",False,S1,One must not ignore matters of grave concern to oneself.,Wickedness and kindness will be rewarded unfailingly.,There is little one can do about a problem whose outcome is inevitable.,Nothing teaches caution like a mishap.,B
YOR2193,Yoruba,Ọkọ ẹni lodì ẹni.,There should be no relationship more intimate than that between spouses.,"[""Do not squander treasure on those incapable of appreciating it."", ""Wickedness and kindness will be rewarded unfailingly."", ""One should not cheerfully and boastfully embrace disgrace.""]",False,S1,There should be no relationship more intimate than that between spouses.,Wickedness and kindness will be rewarded unfailingly.,Do not squander treasure on those incapable of appreciating it.,One should not cheerfully and boastfully embrace disgrace.,A
YOR3385,Yoruba,"Ìlú là ḿbá ọba gbé, kí ìjòyè má t wá mọ́lẹ̀ pa.",The minor official should not impose on people more than the important officials do.,"[""A person who lacks the means to provide properly for himself or herself must be resourceful at making do."", ""One should discharge one’s obligations before indulging in extravagance."", ""Honesty seldom makes one popular.""]",False,S1,A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,The minor official should not impose on people more than the important officials do.,Honesty seldom makes one popular.,One should discharge one’s obligations before indulging in extravagance.,B
YOR1906,Yoruba,Àìkọ́wọ́rìn ejò l m aráyé fi ńfàdá pa wọ́n.,Those who hang together will not hang separately.,"[""One must not ignore matters of grave concern to oneself."", ""A disfigurement that afflicts one in the most conspicuous place will surely be laughed at."", ""Don’t hedge when discussing the obvious.""]",False,S1,Those who hang together will not hang separately.,One must not ignore matters of grave concern to oneself.,Don’t hedge when discussing the obvious.,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,A
YOR0033,Yoruba,A kì í mọ́ egbò fúnra ẹni ká sunkún.,One should know one’s own pain threshold.,"[""Daring makes the man; caution unmakes the man."", ""Do not expect impartial witnessing from an interested party."", ""One should not cheerfully and boastfully embrace disgrace.""]",False,S1,One should know one’s own pain threshold.,Daring makes the man; caution unmakes the man.,One should not cheerfully and boastfully embrace disgrace.,Do not expect impartial witnessing from an interested party.,A
YOR0071,Yoruba,Abùléra ọ̀fọ́n-ọ̀n: ó ní ọjọ́ tí ológbò-ó ti bí òun ò ìtí-ì dá a ní báríkà.,Never forget your vulnerabilities and limitations.,"[""All relationships entail irri tants and require some capacity for accom modation."", ""One should learn from Agbe’s example and be prudent in doing favors."", ""One may not disdain an old tool until one is able to replace it.""]",False,S1,One may not disdain an old tool until one is able to replace it.,One should learn from Agbe’s example and be prudent in doing favors.,Never forget your vulnerabilities and limitations.,All relationships entail irri tants and require some capacity for accom modation.,C
YOR0639,Yoruba,"Ahún wọnú orù, ó ku àtiyọ.",One should consider the possible consequences of one’s actions before acting.,"[""Offer no braggart any opportunity to resume his bragging."", ""No disease is greater than hyperactivity."", ""One should be wary about trusting people.""]",False,S1,One should be wary about trusting people.,No disease is greater than hyperactivity.,One should consider the possible consequences of one’s actions before acting.,Offer no braggart any opportunity to resume his bragging.,C
