Sample_ID,Proverb,Correct_Meaning
1275,Every man has his proper gift,Everyone should be grateful for their particular lot in life.
1276,It is useless to flog a dead horse,"If a point has al ready been made or an issue resolved, there’s no gain in bringing it to attention any further."
1277,You don't fatten a pig by weighing it,"Don’t waste time on metrics, but focus instead on how to make actual improvements."
1278,Revolutions are not made with rose water,Radical political change usually involves violent conflict.
1279,One hour’s sleep before midnight is worth two after,Going to bed earlier gives you more restful sleep.
1280,"After death, the doctor",There is no use trying to fix a problem if the damage has already been done.
1281,"Promises are like pie crust, made to be broken",Do not trust promises because many people do not keep them.
1282,Every dog is allowed one bite,Even mild -mannered people are allowed aggression from time to time.
1283,Don’t cut the bough you are standing on,Don’t act carelessl y when making an important decision as it could lead to your own demise.
1284,"In the world, who knows not to swim goes to the bottom","People who don’t have practical knowledge, basic survival skills, and a desire to succeed will become life failures and will fall behind everyone e lse."
1285,"Take away the cause, and the effect ceases","If you solve the core problem, the symptoms will stop."
1286,Every heart has its own ache,Everyone experiences heartache in life.
1287,Years know more than books,Experience is a more reliable source of knowledge than books.
1288,A young man married is a young man marred,Beware of marrying too early.
1289,Hypocrisy is an homage that vice pays to virtue,Hypocrisy occurs when dishonest people acknowledge what is actually a virtuous action.
ENG0726,Labourer is worthy of his hire,Workers deserve fair pay for their labour (biblical origin).
ENG0727,"Laugh and the world laughs with you, weep and you weep alone",People enjoy being around happy people but avoid those who are sad.
ENG0729,Law is an ass,The law can be foolish or inflexible.
ENG0733,Let not the sun go down on your wrath,Don't stay angry overnight; resolve conflicts quickly.
ENG0736,Let the dead bury the dead,Don't dwell on the past; focus on the present.
ENG0737,Let the punishment fit the crime,Punishment should match the severity of the offence.
ENG0738,Let well alone,"If something is working fine, don't interfere."
ENG0740,Life is just a bowl of cherries,Life is easy and enjoyable.
ENG0741,Life is what you make it,Your attitude and actions determine your life.
ENG0742,Life’s not all beer and skittles,"Life includes hardship, not just fun."
ENG0745,Little pitchers have big ears,Children overhear adult conversations.
ENG0750,Live for today for tomorrow never comes,Enjoy the present; don't postpone life.
ENG0751,Longest journey starts with a single step,Big achievements begin with small actions.
ENG0753,Love of money is the root of all evil,Greed causes many problems.
ENG0756,Love thy neighbour as thyself,Treat others with the same kindness you want.
ENG0760,Make love not war,Promote peace and harmony over conflict.
ENG0761,Man does not live by bread alone,People need more than material things (spiritual/emotional).
ENG0763,Many a good tune played on an old fiddle,Experience and age can still produce great results.
ENG0765,Many a mickle makes a muckle,Small savings accumulate to wealth.
ENG0766,Many a slip ‘twixt cup and lip,Things can go wrong at the last moment.
ENG0767,Many a true word is spoken in jest,Jokes often contain truth.
ENG0768,Many are called but few are chosen,Not everyone succeeds despite opportunity.
ENG0770,"March comes in like a lion, and goes out like a lamb",March weather starts stormy and ends mild.
ENG0771,March winds and April showers bring forth May flowers,Spring rain leads to growth.
ENG0775,Mighty oaks from little acorns grow,Great things come from small beginnings.
ENG0778,Monday’s child is fair of face,Children born on Monday are beautiful (nursery rhyme).
ENG0785,More the merrier,More people make things more enjoyable.
ENG0786,"More things change, the more they stay the same",Surface changes hide underlying continuity.
ENG0787,More ways of killing a cat than choking it with cream,Many methods to achieve a goal.
ENG0788,Music has charms to soothe the savage breast,Music calms anger.
ENG0791,Needs must when the devil drives,You must act when forced by circumstances.
ENG0792,Ne’er cast a clout till May be out,Don't remove warm clothes until May ends.
ENG0793,Never give a sucker an even break,Don't give unfair advantages to the naive.
ENG0794,Never go to bed on an argument,Resolve disputes before sleeping.
ENG0795,Never judge a book by its cover,Don't judge by appearance.
ENG0797,Never look a gift horse in the mouth,Don't criticize gifts.
ENG0799,Never rains but it pours,Misfortunes come together.
ENG0801,Never tell tales out of school,Don't gossip about private matters.
ENG0802,Never too late,It's never too late to change.
ENG0803,Nine tailors make a man,Tailors were once seen as weak; nine needed to make one man.
ENG0804,No accounting for tastes,Preferences differ; no arguing taste.
ENG0805,No fool like an old fool,Older people can be especially foolish.
ENG0808,"No names, no pack-drill","No names mentioned, no punishment."
ENG0810,No one can make you feel inferior without your consent,Self-worth is your choice.
ENG0811,"No pain, no gain",Effort is required for reward.
ENG0812,No place like home,Home is the best place.
ENG0813,No rest for the wicked,Busy people (jokingly) have no rest.
ENG0816,No such thing as bad publicity,Any attention helps.
ENG0818,No use crying over spilt milk,Don't regret what's done.
ENG0819,Nod’s as good as a wink to a blind horse,A hint is enough for the willing.
ENG0820,None so blind as those who will not see,People ignore what they don't want to see.
ENG0821,Nothing new under the sun,Everything has happened before.
ENG0825,Oil and water don’t mix,Incompatible things or people don't go together.
ENG0829,All good things come to he who waits,Patience leads to rewards in time.
ENG0832,All publicity is good publicity,Even negative attention can benefit by increasing visibility.
ENG0834,All that glisters is not gold,Appearances can be deceptive; not everything that looks valuable is.
ENG0836,All things come to those that wait,"With patience, desired outcomes will eventually arrive."
ENG0837,All things must pass,Everything is temporary and will change.
ENG0841,An Englishman’s home is his castle,A person's home is their private sanctuary where they have control.
ENG0843,Apple never falls far from the tree,Children often resemble their parents in behavior or traits.
ENG0844,As thick as thieves,"People who are very close or conspiratorial, like thieves working together."
ENG0845,"As you make your bed, so you must lie upon it",You must accept the consequences of your own choices and actions.
ENG0846,As you sow so shall you reap,Your actions will determine your future outcomes.
ENG0847,Ask a silly question and you’ll get a silly answer,Foolish inquiries elicit inappropriate responses.
ENG0848,Attack is the best form of defence,Taking offensive action is more effective than passive defense.
ENG0853,Beggars should not be choosers,Those in need must accept what is available without complaint.
ENG0854,Behind every great man there’s a great woman,Successful men often have supportive women behind them.
ENG0855,Best-laid schemes of mice and men gang aft agley,Even the most carefully planned efforts can fail.
ENG0858,Better the Devil you know than the Devil you don’t,It is safer to deal with a familiar problem than an unknown one.
ENG0859,Better to give than to receive,Gifting brings more satisfaction than receiving.
ENG0861,Better to light a candle than to curse the darkness,It is more productive to take action to improve a situation than to complain about it.
ENG0862,Between two stools one falls to the ground,Trying to manage multiple options often leads to failure in both.
ENG0865,pen is mightier than the sword.,Words and communication have a greater effect than war and fighting.
ENG0866,"Penny wise, pound foolish.","Refers to a person who is careful about spending small amounts of money, but not careful about spending large amounts."
ENG0867,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.
ENG0868,Perseverance is the key to success.,Continuous effort is necessary in order to accomplish something.
ENG0869,picture paints a thousand words.,A picture is better than a long description.
ENG0871,Poverty waits at the gates of idleness.,"If you do not work, you will not earn any money."
ENG0872,Practice makes perfect.,Doing something repeatedly is the only way to improve and become good at it.
ENG0873,Practice what you preach.,You should behave the way you encourage other people to behave.
ENG0876,problem shared is a problem halved.,It is easier to deal with a problem when you discuss it with someone.
ENG0877,Procrastination is the thief of time.,Delaying an action for too long is a waste of time.
ENG0878,proof of the pudding is in the eating.,The real value of something can be judged only after it has been tried or tested.
ENG0879,Punctuality is the soul of business.,You should always be on time for your business appointments.
ENG0880,Put all your eggs in one basket.,Risk everything by relying on one plan.
ENG0881,"Quick come, quick go.",Something that is acquired easily is also lost easily.
ENG0882,Quick and well seldom go together.,Things that are done well are more often done slowly and carefully.
ENG0888,Revenge is sweet.,There is satisfaction in returning an injury.
ENG0889,rising tide lifts all boats.,A growing economy will lead to beneficial conditions for all.
ENG0890,road to hell is paved with good intentions.,"It is not enough to intend to do something, you must actually do it."
ENG0891,rolling stone gathers no moss,"If a person keeps moving from place to place, they gain neither friends nor possessions."
ENG0893,rotten apple spoils the barrel.,A dishonest or immoral person can have a bad influence on a group.
ENG0894,Better to remain silent and be thought a fool than to speak and remove all doubt,Staying quiet avoids confirming foolishness through speech.
ENG0895,Better to travel hopefully than to arrive,The journey and anticipation are more fulfilling than the destination.
ENG0901,Brevity is the soul of wit,Conciseness enhances intelligence.
ENG0902,Business before pleasure,Work comes before fun.
ENG0905,Clothes maketh the man,Appearance defines character to some extent.
ENG0906,"Cold hands, warm heart",A chilly exterior may hide a kind interior.
ENG0908,Count your blessings,Appreciate what you have.
ENG0909,Course of true love never did run smooth,Romance faces obstacles.
ENG0910,Crime doesn’t pay,Illegality leads to loss.
ENG0912,Darkest hour is just before the dawn,The worst precedes improvement.
ENG0914,Devil is in the details,Problems hide in specifics.
ENG0916,Discretion is the better part of valour,Caution is wiser than bravery.
ENG0919,Dog is a man’s best friend,Loyal companion.
ENG0921,Don’t burn your bridges behind you,Preserve future options.
ENG0922,Don’t cast your pearls before swine,Don’t waste valuables on the ungrateful.
ENG0923,Don’t change horses in midstream,Stick with a chosen path.
ENG0001,A bad workman always blames his tools.,This proverb is used when someone blames the quality of their equipment or other external factors when they perform a task poorly.
ENG0003,Absence makes heart grow fonder.,"When we’re away from loved ones, we long for their company more than in normal times."
ENG0004,A cat has nine lives.,Cat can survive seemingly fatal events.
ENG0005,Action speaks louder than words.,"Action is a better reflection of one’s character than words because it’s easy to say things, but difficult to act on them and follow through."
ENG0006,A Blessing In Disguise,Something good that isn't recognized at first.
ENG0007,A Chip On Your Shoulder,Being upset for something that happened in the past.
ENG0008,A Dime A Dozen,Anything that is common and easy to get.
ENG0010,{Costs an arm and a leg},Very expensive.
ENG0011,"Be slow in choosing, but slower in changing.","Choose things or people after diligence, but once you choose, stick for long."
ENG0013,Better late than never.,It is better to get something (you desire) late than get it never.
ENG0014,Birds of a feather flock together.,People with similar nature seek out each other’s company.
ENG0015,Blood is thicker than water.,Relationships with family is stronger than other relationships.
ENG0016,A rolling stone gathers no moss.,A person who is constantly changing his job and relationships won’t have depth in any of them and would be unfulfilled.
ENG0017,All that glitters is not gold.,Things that look good outwardly may not be as valuable or good.
ENG0018,An apple a day keeps the doctor away.,Eating an apple a day will keep you healthy.
ENG0020,"As you sow, so you shall reap.",Your actions – good or bad – determine what you get.
ENG0021,A picture is worth a thousand words.,It is easier to explain something through a picture than through words.
ENG0022,Don't judge a book by its cover.,"Just like you can’t form an opinion of a book just by looking at its cover, you can’t form an opinion about someone from their outward appearance."
ENG0023,Early bird catches the worm.,One who starts early on the work has higher chance of success.
ENG0025,Fortune favors the brave.,"If you carry out your plans boldly, luck is more likely to favor you."
ENG0026,A diamond with a flaw is better than a common stone that is perfect.,"A rare, precious opportunity that comes with some problems is better than a regular opportunity that seems to be perfect."
ENG0033,A jack of all trades is master of none.,A person with some knowledge of several fields can’t be a master in any of them.
ENG0034,A journey of thousand miles begins with a single step.,"Howsoever big a task is, it starts with a small step."
ENG0035,A lean agreement is better than a fat lawsuit.,"In disputes, it’s better to compromise and get only part of the potential outcome than to contest an expensive lawsuit."
ENG0036,A leopard doesn’t change its spots.,"People can’t change their innate character, especially bad."
ENG0039,All lay loads on a willing horse.,A person who says ‘yes’ to any work will soon find himself overloaded with work.
ENG0040,"Among the blind, one-eyed man is king.",An incapable person can gain powerful position if others are even more incapable.
ENG0041,An army of sheep led by a lion would defeat an army of lions led by a sheep.,Strong leadership beats weak leadership no matter the army size.
ENG0043,An hour in the morning is worth two in the evening.,People are generally more productive in the morning.
ENG0044,An idle brain is devil’s workshop.,"If you’ve nothing to do, you’ll likely think of mischief."
ENG0045,An ounce of protection is worth a pound of cure.,A little precaution before a crisis is better than lot of firefighting afterwards.
ENG0046,"A ship in the harbor is safe, but that’s not what a ship is for.",Get out of your comfort zone to grow and fulfill your potential.
ENG0047,Ask no questions and hear no lies.,Don’t ask questions which people can’t or don’t want to answer.
ENG0048,A thing begun is half done.,A good beginning makes it easier to accomplish rest of the project.
ENG0049,A tree is known by its fruit.,People are known by their character and actions (and not by their appearance).
ENG0050,Barking dogs seldom bite.,People who appear threatening rarely do harm.
ENG0051,Beauty is in the eye of beholder.,What may seem beautiful to one person may not seem to another.
ENG0052,Beauty is only skin deep.,"A person’s character, intellect, and other inner qualities are more important than physical appearance."
ENG0053,Beggars can’t be choosers.,People who depend on the generosity of others can’t pick & choose.
ENG0054,Begin to weave and God will give the thread.,"When taking up a task with no playbook, action is required. New paths open as you move forward."
ENG0055,Better to be poor and healthy than rich and sick.,Health is more important than money.
ENG0056,Clothes do not make a man.,A person’s character can’t be judged by clothing and outward appearance.
ENG0058,Cross the stream where it is shallowest.,Do things in the easiest possible way.
ENG0059,Curiosity killed the cat.,Enquiring into others’ work can be dangerous. Mind your own business.
ENG0060,"Curses, like chickens, come home to roost.",The consequence of wrongdoings always catches up with the wrongdoer.
ENG0061,Different strokes for different folks.,Different people have different needs and we should respect them.
ENG0062,Discretion is the better part of valor.,It is wise to be careful and not show unnecessary bravery.
ENG0063,Do as you would be done by.,Treat others the way you would like to be treated.
ENG0064,Doctors make the worst patients.,It’s difficult to advise a person on a matter in which he is an expert.
ENG0065,Don’t bite the hand that feeds you.,Don’t act badly toward the person who has helped you.
ENG0066,Don’t carry coals to Newcastle.,Don’t do unnecessary work (bringing coal to a coal-mining town).
ENG0067,Don’t cast pearls before swine.,Don’t offer something valuable to someone who doesn’t value it.
ENG0069,Don’t cross the bridge till you come to it.,Deal with a situation when it happens and not worry in advance.
ENG0070,Don’t empty the water jar until the rain falls.,Don’t quit something before securing its replacement.
ENG0071,Don’t kill the goose that lays golden eggs.,Don’t destroy something that makes money for you.
ENG0072,Don’t open a shop unless you know how to smile.,It’s difficult to attract customers without a pleasant persona.
ENG0073,Don’t put all your eggs in one basket.,Don’t put all effort into a single course of action.
ENG0074,Don’t think there are no crocodiles because the water is calm.,Everything calm doesn’t mean there are no dangers.
ENG0076,Eagles don’t catch flies.,Don’t take trivial matters to senior leaders.
ENG0079,Every horse thinks its own pack is heaviest.,We think that we work the hardest.
ENG0080,Every tub must stand on its own bottom.,Everyone has to justify their expense.
ENG0083,Faults are thick where love is thin.,"If love is shallow, people will find faults in each other."
ENG0085,"Flattery, like perfume, should be smelled but not swallowed.",Enjoy flattery but don’t believe it.
ENG0086,Fools rush in where angels fear to tread.,Fools get involved without much thought.
ENG0087,"For want of a nail the shoe is lost, for want of a shoe the horse is lost, for want of a horse the rider is lost.",Small things can have huge implications.
ENG0088,Cut to the chase.,Get to the point.
ENG0092,Let the cat out of the bag.,Reveal a secret.
ENG0093,Miss the boat.,Miss the chance.
ENG0094,On the same page.,Agreeing with someone.
ENG0096,Rain on someone's parade.,Spoil someone's plans.
ENG0097,Saved by the bell.,Rescued at the last moment.
ENG0101,Up in the air.,Uncertain or undecided.
ENG0103,Add insult to injury.,Worsen a situation.
ENG0109,Time flies when you're having fun.,Time passes quickly.
ENG0110,All ears.,Listening closely.
ENG0116,The elephant in the room.,Obvious problem ignored.
ENG0118,Bite off more than you can chew.,Take on too much.
ENG0119,Break the ice.,Start conversation.
ENG0120,By the book.,Follow rules exactly.
ENG0122,Give someone the cold shoulder.,Ignore someone.
ENG0128,A bad tree does not yield good apples.,A bad parent does not raise good children.
ENG0129,A barking dog seldom bites.,Someone who constantly makes threats rarely carries them out.
ENG0131,A black plum is as sweet as a white.,People should not be judged by their appearance.
ENG0134,A broken watch is right once a day.,Someone who is usually wrong can still be right once in a while.
ENG0142,A danger foreseen is half avoided.,"If you are prepared to face a problem or difficulty, it will be easier to deal with."
ENG0145,"A dry March, a wet April and a cool May fill barn and cellar and bring much hay.",Harvest predictions are made according to the weather.
ENG0147,A bad cause requires many words.,It is difficult to defend a bad cause.
ENG0148,Be just before you are generous.,Make sure all your debts are paid before you start offering help to others.
ENG0151,Beauty is in the eye of the beholder.,Different people have different tastes.
ENG0152,"Be swift to hear, slow to speak.",Listen carefully before speaking.
ENG0153,Beggars can't be choosers.,You should not reject an offer if you have no other choice.
ENG0154,The best advice is found on the pillow.,A good night's sleep may help us find an answer to our problem.
ENG0155,The best helping hand is at the end of your sleeve.,The best way to get something done is to do it yourself.
ENG0156,The best things in life are free.,"You don't have to pay for what is important: happiness, friendship, good health."
ENG0160,Charity begins at home.,A person's first duty is to help and care for his own family.
ENG0161,Children are certain cares but uncertain comforts.,Children are bound to cause anxiety but do not always bring joy.
ENG0163,Cleanliness is next to godliness.,A clean body is just as important as a pure soul.
ENG0165,A closed mouth catches no flies.,If you learn when to keep silent you will avoid trouble.
ENG0167,Constant occupation prevents temptation.,"When you are busy working, you avoid temptation."
ENG0170,Crosses are ladders that lead to heaven.,Suffering and misfortune often show the best in a person's character.
ENG0171,The darkest hour is just before dawn.,The most difficult moment is just before a problem is solved.
ENG0174,The devil looks after his own.,Success comes to those who deserve it least.
ENG0175,The devil makes work for idle hands.,"People who have no work, or are idle, often get into trouble."
ENG0177,The die is cast.,A decision has been made and it is impossible to change it.
ENG0179,Discretion is the better part of valour.,It is sometimes better to avoid a dangerous situation than to confront it.
ENG0180,Diseases of the soul are more dangerous than those of the body.,Mental and emotional disorder or spiritual torment is worse than bodily pain.
ENG0181,Distance makes the heart grow fonder.,"When you are separated from the person you love, your feelings are even stronger."
ENG0184,Don't bite off more than you can chew.,Trying to do more than you can deal with can lead to difficulty.
ENG0185,Don't count your chickens before they're hatched.,You must not be too confident that something will be successful.
ENG0186,Don't dig your grave with your own knife and fork.,Don't do something yourself that causes your own downfall.
ENG0188,A hot potato.,Controversial issue.
ENG0192,Can't judge a book by its cover.,Looks can be deceiving.
ENG0193,Drastic times call for drastic measures.,Extreme actions needed.
ENG0194,"No pain, no gain.",Effort brings rewards.
ENG0196,A storm in a teacup.,An overreaction.
ENG0197,All bark and no bite.,"All talk, no action."
ENG0213,Cry me a river.,Exaggerate sadness.
ENG0214,Cut the mustard.,Reach standard.
ENG0223,Early bird gets the worm.,"First come, first served."
ENG0326,Justice delayed is justice denied.,"If the law is applied too late, there is no justice."
ENG0327,Kill one to warn a hundred.,Warn many people by punishing a few.
ENG0328,Kindle not a fire you cannot put out.,Do not start something that you cannot control; you may fail or cause damage.
ENG0329,Kindness begets kindness.,"If you are kind to someone, they will return your kindness."
ENG0330,"Kindness, like a boomerang, always returns.","If you are kind to others, and serve as an example, you will receive kindness in return."
ENG0331,Knowledge in youth is wisdom in age.,What you learn when you are young will be invaluable when you grow old.
ENG0332,Knowledge is power.,"The more knowledge or education you have, the better your chances are of being successful in life, or the more control you will have over your future."
ENG0333,Laughter is the best medicine.,Laughter makes people feel good.
ENG0334,Learn to walk before you run.,Don't rush into doing something before you know how to do it.
ENG0335,Learning is a treasure that will follow its owner everywhere.,Education is something that you keep forever.
ENG0336,"Least said, soonest mended.","The less you talk about an incident, the more easily it will be forgotten."
ENG0337,lender nor borrower be.,Do not lend or borrow money.
ENG0338,leopard cannot change its spots.,It is impossible for a bad or unpleasant person to become good or pleasant.
ENG0341,Let the chips fall where they may.,We should not try to control our destiny.
ENG0342,Liars need good memories.,People who do not tell the truth must be careful to remember what they say.
ENG0343,Liberty is not licence.,Freedom does not mean that people can do whatever they like.
ENG0345,"Like father, like son.",A son's character can be expected to resemble his father's.
ENG0346,little fire is quickly trodden out.,"If you deal with a minor problem quickly, it will not become a major issue."
ENG0347,little of what you fancy does you good.,It's ok to give into a little temptation occasionally.
ENG0348,Little strokes fell good oaks.,"If you divide a task into small parts, it becomes easier to do."
ENG0349,loaded wagon makes no noise.,Really wealthy people do not talk about money.
ENG0350,Look before you leap.,Consider possible consequences before taking action.
ENG0353,Love is blind.,A person in love does not see the faults of the person he/she loves.
ENG0354,loveless life is a living death.,"Without affection, life is difficult."
ENG0356,Man is the head of the family and woman is the neck that turns the head.,Men's actions are guided by their wives.
ENG0358,man can die but once.,"If death comes now, you will not have to experience it later."
ENG0359,man is as old as he feels himself to be.,Your age doesn't matter as long as you are fit and healthy.
ENG0360,"man is judged by his deeds, not by his words.","A person is judged on what he/she actually does, not on what they say they will do."
ENG0361,man is known by the company he keeps.,A person's character is judged by the type of people with whom they spend their time.
ENG0363,Many a true word is spoken in jest.,Even if something is said as a joke it can still be true.
ENG0364,Many hands make light work.,Sharing work makes the task easier.
ENG0365,March comes in like a lion and goes out like a lamb.,The weather at the beginning of March is stormy and at the end is mild.
ENG0366,March winds and April showers bring forth May flowers.,The storms and rain in March and April produce flowers in the month of May.
ENG0367,"Mark, learn and inwardly digest.",Note and reflect upon something in order to thoroughly assimilate it.
ENG0369,Memory is the treasure of the mind.,A good memory is very precious.
ENG0370,"Men make houses, women make homes.",Women give a house its comfort and character.
ENG0371,Might as well be hanged for a sheep as a lamb.,"If the penalty is going to be the same, you might as well commit the greater offence."
ENG0372,Might is right.,Those with the most strength or power think they can do whatever they want.
ENG0373,Misery loves company.,When people are sad they often like others to feel sad too.
ENG0374,Misfortune tells us where fortune is.,It's when you encounter a serious problem that you realize that your previous difficulties were relatively minor.
ENG0378,monkey in silk is a monkey no less.,"No matter how someone dresses, it's the same person underneath."
ENG0379,"more haste, the less speed.",A person makes more progress if they take time to do things carefully.
ENG0380,"more you have, the more you want.",People have a constant desire to possess more.
ENG0381,mouse that has but one hole is quickly taken.,"If you depend on just one thing, and it fails, you have no alternatives."
ENG0382,Necessity is the mother of invention.,The need for something forces people to find a way of obtaining it.
ENG0385,Needs must when the devil drives.,Sometimes you are compelled to do something that you would rather not do.
ENG0386,Never put off till tomorrow what can be done today.,Don't postpone until later something you can do now.
ENG0388,Never trouble troubles until troubles trouble you.,Don't look for problems in advance; deal with them when they arise.
ENG0389,new broom sweeps clean .,A newly-appointed person often makes changes quickly (but experience is also valuable).
ENG0390,nod is as good as a wink .,A hint or a subtle signal is enough to convey meaning to someone who is ready to understand.
ENG0391,Nobody is perfect.,It is understandable not to be perfect or to make occasional mistakes.
ENG0394,No man can serve two masters.,It's impossible to follow instructions from two different sources.
ENG0395,No man is a hero to his valet.,Few people are admired by those who know them intimately and are aware of their failings.
ENG0396,No man is an island.,People are all interdependent and need each other.
ENG0400,No smoke without fire.,There could be some truth in the rumour.
ENG0401,"No wind, no waves.",Similar to 'no smoke without fire'.
ENG0402,Nothing ventured nothing gained.,You cannot expect to achieve anything if you take no risks.
ENG0403,Oil and water do not mix.,Some people or things are incompatible by nature.
ENG0404,old fox is not easily snared.,A person of experience is difficult to fool or manipulate.
ENG0406,One father is more than a hundred schoolmasters.,A teacher cannot replace a father. A child is raised by a father and taught by a teacher.
ENG0408,One of these days is none of these days.,"Until a date is set, 'one of these days' remains a vague promise."
ENG0409,One man's junk is another man's treasure.,What may seem useless or junk to one person may be of great value to another.
ENG0410,One today is worth two tomorrows.,What you have today is better than what is promised or hoped for.
ENG0412,One man's trash is another man's treasure.,What is useless to one person could be valuable to another.
ENG0413,One swallow doesn't make a summer.,A single satisfactory event does not mean that all the others will be as good.
ENG0414,onion a day keeps everyone away.,A humoristic version of 'an apple a day...'
ENG0415,Only real friends will tell you when your face is dirty.,Only a real friend will tell you the truth.
ENG0416,Opportunity seldom knocks twice.,Don't miss opportunities that come along.
ENG0417,ounce of discretion is worth a pound of wit.,It is better to be cautious and discreet than to try to be funny.
ENG0418,ounce of prevention is worth a pound of cure.,It is easier to prevent something from happening than to repair the damage or cure the disease later.
ENG0419,Out of the mouth of babes and sucklings.,Children often speak wisely.
ENG0421,Patience is a virtue.,It is good to be patient.
ENG0438,There is safety in numbers.,Being in a group offers more protection than being alone.
ENG0439,Save me from my friends,Friends can sometimes be more dangerous than enemies.
ENG0440,"Saying is one thing, doing is another.",People don't always do what they announce.
ENG0441,Short reckonings make long friends.,Debts paid quickly encourage friendship.
ENG0442,Sickness in the body brings sadness to the mind.,Physical suffering can lead to sadness or depression.
ENG0443,Silence gives consent.,"If you don't object to something, it is assumed that you agree with it."
ENG0445,A soft answer turneth away wrath.,If your reply is polite and tactful you will avoid anger.
ENG0446,A smooth sea never made a skilled mariner.,Overcoming adversity leads to competence.
ENG0447,Snug as a bug in a rug.,Feeling very comfortable.
ENG0448,Spare the rod and spoil the child.,"If you don't punish a child when he does wrong, you will spoil his character."
ENG0450,Sticks and stones will break my bones but names will never hurt me.,"Physical attacks may harm me, but cruel words will not."
ENG0453,Stolen fruit is sweet,What is forbidden is the most tempting.
ENG0455,A stumble may prevent a fall.,Correcting a small mistake may help you to avoid making a bigger one.
ENG0456,One swallow does not make the summer.,"Although something good has happened, a single fortunate event should not make you too optimistic because the situation may not continue to develop as well as you hope."
ENG0457,Tall oaks grow from little acorns,Great things may come from small beginnings.
ENG0458,The apple doesn't fall far from the tree,Children resemble their parents or have similar characteristics.
ENG0464,The devil makes work for idle hands,"People who have no work, or who are idle, often get into trouble."
ENG0474,The tongue wounds more than a lance,Insults can be more hurtful than physical injuries.
ENG0475,The truth is in the wine,People speak more freely under the influence of alcohol.
ENG0476,There's many a slip between cup and lip,"Even when a good outcome seems certain, things can still go wrong."
ENG0480,"United we stand, divided we fall",People who join forces are more difficult to defeat than they would be separately.
ENG0481,Unity is strength.,People can achieve more when they join forces than when they work alone.
ENG0482,"Until it's done, tell none.",Don’t announce success until it has been achieved.
ENG0483,Unwillingness easily finds an excuse.,A person who doesn't want to do something always finds a reason to avoid it.
ENG0485,Use it or lose it,Skills or knowledge that are not used may be lost over time.
ENG0486,Vanity blossoms but bears no fruit.,The growth of excessive pride brings no benefit.
ENG0488,Various are the roads to fame.,Different methods of doing something can lead to the same result in the end.
ENG0489,Virtue is its own reward.,You should not expect praise for acting in a correct or moral way.
ENG0490,Vision without action is a daydream. Action without vision is a nightmare.,"If you have good ideas but don’t act on them, you are just daydreaming. If you act without thinking, you may end up in trouble."
ENG0491,"Voice of one, voice of none.",People who are not united do not have the power to change things.
ENG0495,We are what we eat,What we eat has a direct impact on our lives and overall well-being.
ENG0496,"What the eye doesn't see, the heart doesn't grieve over","If a person doesn't know about something, it cannot hurt them."
ENG0499,What's done is done,You cannot change something that has already happened.
ENG0500,"When the cat's away, the mice play",People sometimes misbehave when the person in authority is absent.
ENG0502,"When poverty comes in the door, love goes out the window","When a couple loses everything, their relationship becomes difficult."
ENG0504,Where there's life there's hope,"As long as a person is breathing, there is hope for recovery."
ENG0505,Where there's a will there's a way,"If you are determined to do something, you will find a way to do it."
ENG0506,Who makes himself a sheep will be eaten by the wolves,An easily influenced person can be misled.
ENG0507,A wise head keeps a still tongue,An intelligent person knows when to stay silent.
ENG0508,Wisdom is better than strength,It is preferable to use one's intelligence than one's physical strength.
ENG0510,Without effort no harvest will be abundant,Nothing is achieved without hard work.
ENG0511,Two wrongs don't make a right,It is wrong to harm someone because they have harmed you.
ENG0513,Worry often gives a small thing a big shadow,"We often worry unnecessarily about small things. The more we worry, the more important they appear."
ENG0514,You are what you eat.,What you eat has an effect on your well-being.
ENG0516,You can lead a horse to water but you can't make it drink.,You can offer somebody an opportunity to do something but you can't force them to do it.
ENG0517,You can't teach an old dog new tricks.,A person who is used to doing things a certain way cannot change.
ENG0518,You can't get blood from a turnip.,"You cannot obtain something, especially money, from someone who doesn't have it."
ENG0519,You never know what you can do until you try.,Try first before deciding not to do something.
ENG0520,You reap what you sow.,The result you achieve depends on your behaviour or actions.
ENG0522,"You snooze, you lose.",Laziness can lead to missed opportunities.
ENG0523,"A young idler, an old beggar.","If you don't work, you won't have any money when you're old."
ENG0524,Youth is wasted on the young.,"Young people do not realize the value of their youth, or perhaps they are too immature to appreciate it."
ENG0525,Zeal without knowledge is a runaway horse.,The excessive eagerness of an inexperienced person can lead to unbridled (uncontrolled) action.
ENG0527,Accidents will happen,Mistakes or mishaps are inevitable.
ENG0535,All the world loves a lover,People admire those in love.
ENG0544,An ill wind that blows no one any good,Even bad events have benefits.
ENG0545,An ounce of prevention is worth a pound of cure,Avoidance is better than fixing.
ENG0556,Be careful what you wish for,Desires can backfire.
ENG0585,Customer is always right,Satisfy clients regardless.
ENG0601,"Don’t get mad, get even",Retaliate calmly.
ENG0603,Don’t look a gift horse in the mouth,Accept gifts graciously.
ENG0604,Don’t meet troubles half-way,Avoid anticipating problems.
ENG0605,Don’t mix business with pleasure,Separate work and fun.
ENG0608,Don’t rock the boat,Avoid disruption.
ENG0609,Don’t shoot the messenger,Don't blame bearers of news.
ENG0610,Don’t throw the baby out with the bathwater,Avoid discarding valuables.
