Sample_ID,Proverb,Correct_Meaning
ENG1601,Take not a musket to kill a butterfly,Do not use extreme mea sures for small tasks.
ENG1602,A forced kindness deserves n o thanks,A generous act is worthless unless it is carried out willingly and sincerely.
ENG1603,The envious man grows lean,Jealousy will drain you of happiness and energy.
ENG1604,"If we are bound to forgive an enemy, we are not bound to trust him",It’s good to forgive but not necessarily forget.
ENG1605,Eagles do not breed doves,Offspring typ ically resemble their parentage in character.
ENG1606,Peace makes plenty,People are generous when they feel safe and com fortable with each other.
ENG1607,"Once on shore, we pray no more","We seek divine assistance when we feel in danger, but when life is stable, we get caught up in our daily routines."
ENG1608,Affection blinds reason,Love can make one act irrationally.
ENG1609,Sadness and gladn ess succeed each other,We experience happiness and sadness relative to each other.
ENG1610,A good wife and health are a man’s best wealth,"Money is never as valuable to a man as a loving, supportive spouse and physical well -being."
ENG1611,The borrower is the servant to the lender,Those to whom you owe money are in a position of power over you.
ENG1612,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.
ENG1613,"The more you stir it, the more it stinks","The more you get involved in something already unpleasant, the worse you’ll make it."
ENG1614,Why buy a cow when milk is so cheap,"Why pay for or invest in something expensive when you can get the benefits cheaply, or even for free? A common example of this is the idea that a man who can obtain premarital sex will not be motivated to get married; therefore, a woman who is interested in him should withhold sexual relations."
ENG1615,Don’t make a rod for your own back,Beware of taking actions that may create long -lasting problems.
ENG1616,Liberty is not license,Political freedom does not mean that people are entitled to behave as they like without regard to others.
ENG1617,The gods send nuts to those who have no teeth,Good fortune sometimes comes to people who can no longer use it or enjoy it.
ENG1618,Learning is better than house and land,Education is more v aluable than the accumulation of property.
ENG1619,Fools build houses and wise men live in them,Building a house is so expensive that renting is usually the better option.
ENG1620,A friend is never known till needed,Unlikely friends often present themselves when they are truly needed.
ENG1621,"A good surgeon must have an eagle’s eye, a lion’s heart, and a lady’s hand","Eagles are known for their acute observational skills, lions as courageous and determined creatures, and women for their delica te touch."
ENG1622,An occasion lost cannot be redeemed,Don’t take an opportunity for granted as it may not come your way again.
ENG1623,They brag most who can do leas t,Overtalkativeness is a sign of a weak or empty -headed person.
ENG1624,Gold may be bought too dear,Some wealth is not worth the sacrifice one must make in order to obtain it.
ENG1625,A man without reason is a beast in season,One may lose sight of themselves when rooted in hot emotion and not logic.
ENG1626,The noblest vengeance is to forgive,The best way to respond to someone’s hurtful action is to forgive them.
ENG1627,A wise man is never less alone than when alone,Wise people have the intellectual resources to occupy themselves even when alone.
ENG1628,"A great city, a great solitude",It is often in a city full of people that one feels most lonely.
ENG1629,He that touches pitch shall be defiled,One who mixes with wicked people cannot avoid being influenced by them.
ENG1630,An old poacher makes the best gamekeeper,It takes a criminal to know a criminal.
ENG1631,What can you expect from a hog but a grunt,Don’t have inappropriate or unrealistic expectations of people or objects.
ENG1632,"Where bees are, there is honey","Wherever hardworking people are, there are profitable results."
ENG1633,The English are a nation of shopkeepers,The British public is focused on economic growth.
ENG1634,"You buy land, you buy stones; you buy meat, you buy bo nes","Consider the literal and material consequences of every acquisition you take, including the less valuable aspects."
ENG1635,Bread never falls but on its buttered side,An already negative situation will often get even worse.
ENG1636,"He is not a wise man, who cannot play the fool on occasion",A clever person may feign ignorance in ord er to avoid trouble.
ENG1637,Pleasant hours fly fast,Time seems to move quickly when we are enjoying ourselves.
ENG1638,Stone -dead hath no fellow,This saying was used to advocate for the death penalty.
ENG1639,A fool believes everything,"Fools are gullible by nature and can be easily deceived, but the wise will questi on even the most rudimentary fact."
ENG1640,"Early wed, early dead",One who marries young may be wasting quality bachelorhood.
ENG1641,There are more ways of killing a cat than choking it with cream,There is more than one way to get something done.
ENG1642,A straw will show which way the wind blows,A seemingly minor sign may be a hint at something bigger to come.
ENG1643,"When a thing is done, advice comes too la te",Don’t give someone advice or a lecture when things are past changing or undoing.
ENG1644,Fling dirt enough and some will stick,"If one spreads enough harmful rumors about a person, eventually their reputation will suffer, regardless of whether the accusations are true."
ENG1645,"One enemy is too many, and a hundred friends too few","You should not want anyone to be an enemy, and you can never have too many friends."
ENG1646,Every flow must have its ebb,"Life consists of ups and downs, peaks and valleys."
ENG1647,Death defies the doctor,"No matter how skilled a doctor is at treating his patients, death will eventually come."
ENG1648,Safety lies in the middle course,Moderation is the way to stay safe.
ENG1649,Lean liberty is better than fat slavery,"Freedom is always better than being under someone else’s control, and we should not trade our free will for a comfortable life."
ENG1650,Pride feels no pain,Fashionable people will endure discomfort in order to impress others.
ENG1651,Adam’s ale is the best brew,This proverb serves as a suggestion to avoid drinking alcohol.
ENG1652,"The more you get, the more you want",People are never sati sfied with what they have.
ENG1653,Catch your bear before you sell its skin,Don’t promise something you may not be able to deliver.
ENG1654,A dripping June sets all in tune,One positive action can have a long -lasting impact.
ENG1655,Better die with honor than live with shame,"In the choice between dignity and disgrace, one can only choose dignity."
ENG1656,One foot is better than two crutches,We should be thankful for what we have because our situation could always be worse.
ENG1657,He that has no children knows not what is love,Only a parent knows the true meaning of unconditional love.
ENG1658,Marriage makes or mars a man,Being married can either help or hinder you in your life.
ENG1659,Sussex won't be druv,A local unofficial motto states that the people of Sussex County in England are admirably stubborn and cannot be forced to do something against t heir will.
ENG1660,Eagles catch no flies,Important people do not trouble themselves with insignificant matters.
ENG1661,"As the wind blows, you must set your sail",You need to adjust your plans according to current events.
ENG1662,Expectation is better than realization,One’s hopeful projection of the future is often better than the eventual reality.
ENG1663,Fish and guests smell after three days,Hospitality has its limits; a guest should be careful not to take advantage of their host.
ENG1664,The fish will soon be caught that nibbles at every bait,The person who show interest in every do dgy deal will eventually get into trouble.
ENG1665,"When things are at the worst, they begin to mend","Don’t despair when things are at their low point, as life is changing, for better or worse, and a certain state will not remain forever."
ENG1666,A good book is a good friend,The pleasure one gleans from a book can be just as comforting as a friendship.
ENG1667,Corporations have neither bodies to be punished nor souls to be condem ned,Corporations can make decisions that have severe consequences on people’s lives and get away with it.
ENG1668,Hawks will not pick out hawks’ eyes,"Threatening or nefarious people usually leave their peers alone, focusing instead on those weaker than themselves."
ENG1669,It is a foolish sheep that makes the wolf his confessor,It’s a bad idea to share secrets and sensitive information with people who might use it again st you.
ENG1670,"Up like a rocket, down like a stick","This is said of someone who rises high in fortune or fame, then crashes down after losing it all."
ENG1671,A man of gladness seldom falls into madness,Those who cultivate a positive outlook are less likely to lose their com posure.
ENG1672,An old fox is not easily snared,"With old age comes all the experience, resilience, and survival ski lls one has gained in a lifetime."
ENG1673,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own."
ENG1674,You cannot put an old head on young shoulders,It’s impossible for a younger person to have the wisdom and experience of an older person.
ENG1675,"If each would sweep before his own door, we should have a clean city",Bringing about positive change is a group effort.
ENG1676,A woman conceals what she knows not,"This proverb plays to the gender stereotypes that assume that women cannot keep a secret, and if they know anything, they cannot resist telling it to others."
ENG1677,"Abundance like want, ruins many",Material wealth can be a curse as it leads to vanity and covetousness.
ENG1678,One sheep follows another,Weak -minded people will copy each other.
ENG1679,Stretch your legs according to your coverlet,"Don’t live beyond your means, but spend according to what you can afford."
ENG1680,"Six hours' sleep for a man, seven for a woman, and eight for a fool","This old saying wa s made famous by French Emperor Napoleon Bonaparte who suggests that men need less sleep than women, and that getting a lot of sleep is only for the weak or lazy people."
ENG1681,The difficult is done at once; the impossible takes a little longer,This is a boastful way to say that nothing is impossible to you.
ENG1682,Many would be cowards if they had courage enough,It takes bravery to admit that you are afraid.
ENG1683,You must cut your coat according to y our cloth,"You can only shop, buy, or acquire based on your financial resources."
ENG1684,"The camel, going to seek horns, lost his ears","Don’t be so greedy in your pursuits, or you may lose a valuable asset that you already have."
ENG1685,Hanging and wiving go by destiny,"In life, marriage and death are both, to a large extent, determined by fate."
ENG1686,Don't spoil the ship for a ha'porth of tar,Don’t neglect an important part of a task simply to save an insignificant amount of time or money.
ENG1687,A swarm in May is worth a load of hay; a swarm in June is worth a silver spoon; but a swarm in,July is not worth a fly One’s fortune depends on the season.
ENG1688,"One man may steal a horse, while another may not look over a hedge",We respond differently to behavior depending on how we feel about the people involved.
ENG1689,Every extremity is a fault,"It is best to practice moderation, avoiding extremes."
ENG1690,He should have a long spoon that sups with the devil,One should keep their distance if they must deal with a wicked person.
ENG1691,Let not your tongue cut your throat,Be care ful what you say because you could say something that puts your life in danger.
ENG1692,The world is a ladder for some t o go up and some down,"The world is a place of constant change, and people’s fortunes can rise and fall."
ENG1693,You cannot get a quart into a pint pot,"You can’t get something too large to fit into a small space, so don’t try the impossible."
ENG1694,Good management is better than good incom e,"No matter how large your income might be, you can end up in financial difficulty if you don’t moderate your expenses."
ENG1695,Fair faces need no paint,A naturally beautiful face requires no makeup to look good.
ENG1696,It is too late to lock the stable when the horse has been stolen,It’s no use to take precautions after the damage has already been done.
ENG1697,The lone sheep is in danger of the wolf,A person who strays from the company and safety of the group is more vulnerable to a dangerous or untrustworthy person.
ENG1698,"The more women look in their glass, the less they look to their house","The more a woman focuses on her appearance, the less she will care about taking care of her home."
ENG1699,Time discloses all things,The answers or truth about an important issue will eventually be revealed with time.
ENG1700,"A reed before the wind lives on, while mighty oaks do fall","A humble, flexible person will succeed where a proud, stubborn person fails."
ENG1701,Custom without reason is but ancient error,Don’t trust a custom simply because it is tradition; you need to questi on the logic and moral behind it.
ENG1702,"A young man idle, an old man needy","In old age, one regrets the opportunities taken for granted in youth."
ENG1703,Praise no man till he is dead,"People we admire may surprise us by committing dishonest actions, or if past actions are revealed."
ENG1704,One year's seeding makes seven years' weeding,"If something is left out of control, it will create long -term problems."
ENG1705,It is ill jesting with edged tools,Don’t trifle or play around with dangerous things or people.
ENG1706,A moneyless man goes fast through the market,Don’t waste your time looking at things you can’t afford.
ENG1707,"Don’t make yourself a mouse, or the cat will eat you","If you present yourself as weak or indecisive, someone is likely to take advantage of you."
ENG1708,Common fame is seldom to blame,"One’s reputation, though it may be exaggerated, may actually have a ring of truth in it."
ENG1709,Every man has his proper gift,Everyone should be grateful for their particular lot in life.
ENG1710,It is useless to flog a dead horse,"If a point has al ready been made or an issue resolved, there’s no gain in bringing it to attention any further."
ENG1711,You don't fatten a pig by weighing it,"Don’t waste time on metrics, but focus instead on how to make actual improvements."
ENG1712,Revolutions are not made with rose water,Radical political change usually involves violent conflict.
ENG1713,One hour’s sleep before midnight is worth two after,Going to bed earlier gives you more restful sleep.
ENG1714,"After death, the doctor",There is no use trying to fix a problem if the damage has already been done.
ENG1715,"Promises are like pie crust, made to be broken",Do not trust promises because many people do not keep them.
ENG1716,Every dog is allowed one bite,Even mild -mannered people are allowed aggression from time to time.
ENG1717,Don’t cut the bough you are standing on,Don’t act carelessl y when making an important decision as it could lead to your own demise.
ENG1718,"In the world, who knows not to swim goes to the bottom","People who don’t have practical knowledge, basic survival skills, and a desire to succeed will become life failures and will fall behind everyone e lse."
ENG1719,"Take away the cause, and the effect ceases","If you solve the core problem, the symptoms will stop."
ENG1720,Every heart has its own ache,Everyone experiences heartache in life.
ENG1721,Years know more than books,Experience is a more reliable source of knowledge than books.
ENG1722,A young man married is a young man marred,Beware of marrying too early.
ENG1723,Hypocrisy is an homage that vice pays to virtue,Hypocrisy occurs when dishonest people acknowledge what is actually a virtuous action.
ENG1724,Labourer is worthy of his hire,Workers deserve fair pay for their labour (biblical origin).
ENG1725,"Laugh and the world laughs with you, weep and you weep alone",People enjoy being around happy people but avoid those who are sad.
ENG1726,Law is an ass,The law can be foolish or inflexible.
ENG1727,Let not the sun go down on your wrath,Don't stay angry overnight; resolve conflicts quickly.
ENG1728,Let the dead bury the dead,Don't dwell on the past; focus on the present.
ENG1729,Let the punishment fit the crime,Punishment should match the severity of the offence.
ENG1730,Let well alone,"If something is working fine, don't interfere."
ENG1731,Life is just a bowl of cherries,Life is easy and enjoyable.
ENG1732,Life is what you make it,Your attitude and actions determine your life.
ENG1733,Life’s not all beer and skittles,"Life includes hardship, not just fun."
ENG1734,Little pitchers have big ears,Children overhear adult conversations.
ENG1735,Live for today for tomorrow never comes,Enjoy the present; don't postpone life.
ENG1736,Longest journey starts with a single step,Big achievements begin with small actions.
ENG1737,Love of money is the root of all evil,Greed causes many problems.
ENG1738,Love thy neighbour as thyself,Treat others with the same kindness you want.
ENG1739,Make love not war,Promote peace and harmony over conflict.
ENG1740,Man does not live by bread alone,People need more than material things (spiritual/emotional).
ENG1741,Many a good tune played on an old fiddle,Experience and age can still produce great results.
ENG1742,Many a mickle makes a muckle,Small savings accumulate to wealth.
ENG1743,Many a slip ‘twixt cup and lip,Things can go wrong at the last moment.
ENG1744,Many a true word is spoken in jest,Jokes often contain truth.
ENG1745,Many are called but few are chosen,Not everyone succeeds despite opportunity.
ENG1746,"March comes in like a lion, and goes out like a lamb",March weather starts stormy and ends mild.
ENG1747,March winds and April showers bring forth May flowers,Spring rain leads to growth.
ENG1748,Mighty oaks from little acorns grow,Great things come from small beginnings.
ENG1749,Monday’s child is fair of face,Children born on Monday are beautiful (nursery rhyme).
ENG1750,More the merrier,More people make things more enjoyable.
ENG1751,"More things change, the more they stay the same",Surface changes hide underlying continuity.
ENG1752,More ways of killing a cat than choking it with cream,Many methods to achieve a goal.
ENG1753,Music has charms to soothe the savage breast,Music calms anger.
ENG1754,Needs must when the devil drives,You must act when forced by circumstances.
ENG1755,Ne’er cast a clout till May be out,Don't remove warm clothes until May ends.
ENG1756,Never give a sucker an even break,Don't give unfair advantages to the naive.
ENG1757,Never go to bed on an argument,Resolve disputes before sleeping.
ENG1758,Never judge a book by its cover,Don't judge by appearance.
ENG1759,Never look a gift horse in the mouth,Don't criticize gifts.
ENG1760,Never rains but it pours,Misfortunes come together.
ENG1761,Never tell tales out of school,Don't gossip about private matters.
ENG1762,Never too late,It's never too late to change.
ENG1763,Nine tailors make a man,Tailors were once seen as weak; nine needed to make one man.
ENG1764,No accounting for tastes,Preferences differ; no arguing taste.
ENG1765,No fool like an old fool,Older people can be especially foolish.
ENG1766,"No names, no pack-drill","No names mentioned, no punishment."
ENG1767,No one can make you feel inferior without your consent,Self-worth is your choice.
ENG1768,"No pain, no gain",Effort is required for reward.
ENG1769,No place like home,Home is the best place.
ENG1770,No rest for the wicked,Busy people (jokingly) have no rest.
ENG1771,No such thing as bad publicity,Any attention helps.
ENG1772,No use crying over spilt milk,Don't regret what's done.
ENG1773,Nod’s as good as a wink to a blind horse,A hint is enough for the willing.
ENG1774,None so blind as those who will not see,People ignore what they don't want to see.
ENG1775,Nothing new under the sun,Everything has happened before.
ENG1776,Oil and water don’t mix,Incompatible things or people don't go together.
ENG1777,All good things come to he who waits,Patience leads to rewards in time.
ENG1778,All publicity is good publicity,Even negative attention can benefit by increasing visibility.
ENG1779,All that glisters is not gold,Appearances can be deceptive; not everything that looks valuable is.
ENG1780,All things come to those that wait,"With patience, desired outcomes will eventually arrive."
ENG1781,All things must pass,Everything is temporary and will change.
ENG1782,An Englishman’s home is his castle,A person's home is their private sanctuary where they have control.
ENG1783,Apple never falls far from the tree,Children often resemble their parents in behavior or traits.
ENG1784,As thick as thieves,"People who are very close or conspiratorial, like thieves working together."
ENG1785,"As you make your bed, so you must lie upon it",You must accept the consequences of your own choices and actions.
ENG1786,As you sow so shall you reap,Your actions will determine your future outcomes.
ENG1787,Ask a silly question and you’ll get a silly answer,Foolish inquiries elicit inappropriate responses.
ENG1788,Attack is the best form of defence,Taking offensive action is more effective than passive defense.
ENG1789,Beggars should not be choosers,Those in need must accept what is available without complaint.
ENG1790,Behind every great man there’s a great woman,Successful men often have supportive women behind them.
ENG1791,Best-laid schemes of mice and men gang aft agley,Even the most carefully planned efforts can fail.
ENG1792,Better the Devil you know than the Devil you don’t,It is safer to deal with a familiar problem than an unknown one.
ENG1793,Better to give than to receive,Gifting brings more satisfaction than receiving.
ENG1794,Better to light a candle than to curse the darkness,It is more productive to take action to improve a situation than to complain about it.
ENG1795,Between two stools one falls to the ground,Trying to manage multiple options often leads to failure in both.
ENG1796,pen is mightier than the sword.,Words and communication have a greater effect than war and fighting.
ENG1797,"Penny wise, pound foolish.","Refers to a person who is careful about spending small amounts of money, but not careful about spending large amounts."
ENG1798,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.
ENG1799,Perseverance is the key to success.,Continuous effort is necessary in order to accomplish something.
ENG1800,picture paints a thousand words.,A picture is better than a long description.
ENG1801,Poverty waits at the gates of idleness.,"If you do not work, you will not earn any money."
ENG1802,Practice makes perfect.,Doing something repeatedly is the only way to improve and become good at it.
ENG1803,Practice what you preach.,You should behave the way you encourage other people to behave.
ENG1804,problem shared is a problem halved.,It is easier to deal with a problem when you discuss it with someone.
ENG1805,Procrastination is the thief of time.,Delaying an action for too long is a waste of time.
ENG1806,proof of the pudding is in the eating.,The real value of something can be judged only after it has been tried or tested.
ENG1807,Punctuality is the soul of business.,You should always be on time for your business appointments.
ENG1808,Put all your eggs in one basket.,Risk everything by relying on one plan.
ENG1809,"Quick come, quick go.",Something that is acquired easily is also lost easily.
ENG1810,Quick and well seldom go together.,Things that are done well are more often done slowly and carefully.
ENG1811,Revenge is sweet.,There is satisfaction in returning an injury.
ENG1812,rising tide lifts all boats.,A growing economy will lead to beneficial conditions for all.
ENG1813,road to hell is paved with good intentions.,"It is not enough to intend to do something, you must actually do it."
ENG1814,rolling stone gathers no moss,"If a person keeps moving from place to place, they gain neither friends nor possessions."
ENG1815,rotten apple spoils the barrel.,A dishonest or immoral person can have a bad influence on a group.
ENG1816,Better to remain silent and be thought a fool than to speak and remove all doubt,Staying quiet avoids confirming foolishness through speech.
ENG1817,Better to travel hopefully than to arrive,The journey and anticipation are more fulfilling than the destination.
ENG1818,Brevity is the soul of wit,Conciseness enhances intelligence.
ENG1819,Business before pleasure,Work comes before fun.
ENG1820,Clothes maketh the man,Appearance defines character to some extent.
ENG1821,"Cold hands, warm heart",A chilly exterior may hide a kind interior.
ENG1822,Count your blessings,Appreciate what you have.
ENG1823,Course of true love never did run smooth,Romance faces obstacles.
ENG1824,Crime doesn’t pay,Illegality leads to loss.
ENG1825,Darkest hour is just before the dawn,The worst precedes improvement.
ENG1826,Devil is in the details,Problems hide in specifics.
ENG1827,Discretion is the better part of valour,Caution is wiser than bravery.
ENG1828,Dog is a man’s best friend,Loyal companion.
ENG1829,Don’t burn your bridges behind you,Preserve future options.
ENG1830,Don’t cast your pearls before swine,Don’t waste valuables on the ungrateful.
ENG1831,Don’t change horses in midstream,Stick with a chosen path.
ENG1832,A bad workman always blames his tools.,This proverb is used when someone blames the quality of their equipment or other external factors when they perform a task poorly.
ENG1833,Absence makes heart grow fonder.,"When we’re away from loved ones, we long for their company more than in normal times."
ENG1834,A cat has nine lives.,Cat can survive seemingly fatal events.
ENG1835,Action speaks louder than words.,"Action is a better reflection of one’s character than words because it’s easy to say things, but difficult to act on them and follow through."
ENG1836,A Blessing In Disguise,Something good that isn't recognized at first.
ENG1837,A Chip On Your Shoulder,Being upset for something that happened in the past.
ENG1838,A Dime A Dozen,Anything that is common and easy to get.
ENG1839,{Costs an arm and a leg},Very expensive.
ENG1840,"Be slow in choosing, but slower in changing.","Choose things or people after diligence, but once you choose, stick for long."
ENG1841,Better late than never.,It is better to get something (you desire) late than get it never.
ENG1842,Birds of a feather flock together.,People with similar nature seek out each other’s company.
ENG1843,Blood is thicker than water.,Relationships with family is stronger than other relationships.
ENG1844,A rolling stone gathers no moss.,A person who is constantly changing his job and relationships won’t have depth in any of them and would be unfulfilled.
ENG1845,All that glitters is not gold.,Things that look good outwardly may not be as valuable or good.
ENG1846,An apple a day keeps the doctor away.,Eating an apple a day will keep you healthy.
ENG1847,"As you sow, so you shall reap.",Your actions – good or bad – determine what you get.
ENG1848,A picture is worth a thousand words.,It is easier to explain something through a picture than through words.
ENG1849,Don't judge a book by its cover.,"Just like you can’t form an opinion of a book just by looking at its cover, you can’t form an opinion about someone from their outward appearance."
ENG1850,Early bird catches the worm.,One who starts early on the work has higher chance of success.
ENG1851,Fortune favors the brave.,"If you carry out your plans boldly, luck is more likely to favor you."
ENG1852,A diamond with a flaw is better than a common stone that is perfect.,"A rare, precious opportunity that comes with some problems is better than a regular opportunity that seems to be perfect."
ENG1853,A jack of all trades is master of none.,A person with some knowledge of several fields can’t be a master in any of them.
ENG1854,A journey of thousand miles begins with a single step.,"Howsoever big a task is, it starts with a small step."
ENG1855,A lean agreement is better than a fat lawsuit.,"In disputes, it’s better to compromise and get only part of the potential outcome than to contest an expensive lawsuit."
ENG1856,A leopard doesn’t change its spots.,"People can’t change their innate character, especially bad."
ENG1857,All lay loads on a willing horse.,A person who says ‘yes’ to any work will soon find himself overloaded with work.
ENG1858,"Among the blind, one-eyed man is king.",An incapable person can gain powerful position if others are even more incapable.
ENG1859,An army of sheep led by a lion would defeat an army of lions led by a sheep.,Strong leadership beats weak leadership no matter the army size.
ENG1860,An hour in the morning is worth two in the evening.,People are generally more productive in the morning.
ENG1861,An idle brain is devil’s workshop.,"If you’ve nothing to do, you’ll likely think of mischief."
ENG1862,An ounce of protection is worth a pound of cure.,A little precaution before a crisis is better than lot of firefighting afterwards.
ENG1863,"A ship in the harbor is safe, but that’s not what a ship is for.",Get out of your comfort zone to grow and fulfill your potential.
ENG1864,Ask no questions and hear no lies.,Don’t ask questions which people can’t or don’t want to answer.
ENG1865,A thing begun is half done.,A good beginning makes it easier to accomplish rest of the project.
ENG1866,A tree is known by its fruit.,People are known by their character and actions (and not by their appearance).
ENG1867,Barking dogs seldom bite.,People who appear threatening rarely do harm.
ENG1868,Beauty is in the eye of beholder.,What may seem beautiful to one person may not seem to another.
ENG1869,Beauty is only skin deep.,"A person’s character, intellect, and other inner qualities are more important than physical appearance."
ENG1870,Beggars can’t be choosers.,People who depend on the generosity of others can’t pick & choose.
ENG1871,Begin to weave and God will give the thread.,"When taking up a task with no playbook, action is required. New paths open as you move forward."
ENG1872,Better to be poor and healthy than rich and sick.,Health is more important than money.
ENG1873,Clothes do not make a man.,A person’s character can’t be judged by clothing and outward appearance.
ENG1874,Cross the stream where it is shallowest.,Do things in the easiest possible way.
ENG1875,Curiosity killed the cat.,Enquiring into others’ work can be dangerous. Mind your own business.
ENG1876,"Curses, like chickens, come home to roost.",The consequence of wrongdoings always catches up with the wrongdoer.
ENG1877,Different strokes for different folks.,Different people have different needs and we should respect them.
ENG1878,Discretion is the better part of valor.,It is wise to be careful and not show unnecessary bravery.
ENG1879,Do as you would be done by.,Treat others the way you would like to be treated.
ENG1880,Doctors make the worst patients.,It’s difficult to advise a person on a matter in which he is an expert.
ENG1881,Don’t bite the hand that feeds you.,Don’t act badly toward the person who has helped you.
ENG1882,Don’t carry coals to Newcastle.,Don’t do unnecessary work (bringing coal to a coal-mining town).
ENG1883,Don’t cast pearls before swine.,Don’t offer something valuable to someone who doesn’t value it.
ENG1884,Don’t cross the bridge till you come to it.,Deal with a situation when it happens and not worry in advance.
ENG1885,Don’t empty the water jar until the rain falls.,Don’t quit something before securing its replacement.
ENG1886,Don’t kill the goose that lays golden eggs.,Don’t destroy something that makes money for you.
ENG1887,Don’t open a shop unless you know how to smile.,It’s difficult to attract customers without a pleasant persona.
ENG1888,Don’t put all your eggs in one basket.,Don’t put all effort into a single course of action.
ENG1889,Don’t think there are no crocodiles because the water is calm.,Everything calm doesn’t mean there are no dangers.
ENG1890,Eagles don’t catch flies.,Don’t take trivial matters to senior leaders.
ENG1891,Every horse thinks its own pack is heaviest.,We think that we work the hardest.
ENG1892,Every tub must stand on its own bottom.,Everyone has to justify their expense.
ENG1893,Faults are thick where love is thin.,"If love is shallow, people will find faults in each other."
ENG1894,"Flattery, like perfume, should be smelled but not swallowed.",Enjoy flattery but don’t believe it.
ENG1895,Fools rush in where angels fear to tread.,Fools get involved without much thought.
ENG1896,"For want of a nail the shoe is lost, for want of a shoe the horse is lost, for want of a horse the rider is lost.",Small things can have huge implications.
ENG1897,Cut to the chase.,Get to the point.
ENG1898,Let the cat out of the bag.,Reveal a secret.
ENG1899,Miss the boat.,Miss the chance.
ENG1900,On the same page.,Agreeing with someone.
ENG1901,Rain on someone's parade.,Spoil someone's plans.
ENG1902,Saved by the bell.,Rescued at the last moment.
ENG1903,Up in the air.,Uncertain or undecided.
ENG1904,Add insult to injury.,Worsen a situation.
ENG1905,Time flies when you're having fun.,Time passes quickly.
ENG1906,All ears.,Listening closely.
ENG1907,The elephant in the room.,Obvious problem ignored.
ENG1908,Bite off more than you can chew.,Take on too much.
ENG1909,Break the ice.,Start conversation.
ENG1910,By the book.,Follow rules exactly.
ENG1911,Give someone the cold shoulder.,Ignore someone.
ENG1912,A bad tree does not yield good apples.,A bad parent does not raise good children.
ENG1913,A barking dog seldom bites.,Someone who constantly makes threats rarely carries them out.
ENG1914,A black plum is as sweet as a white.,People should not be judged by their appearance.
ENG1915,A broken watch is right once a day.,Someone who is usually wrong can still be right once in a while.
ENG1916,A danger foreseen is half avoided.,"If you are prepared to face a problem or difficulty, it will be easier to deal with."
ENG1917,"A dry March, a wet April and a cool May fill barn and cellar and bring much hay.",Harvest predictions are made according to the weather.
ENG1918,A bad cause requires many words.,It is difficult to defend a bad cause.
ENG1919,Be just before you are generous.,Make sure all your debts are paid before you start offering help to others.
ENG1920,Beauty is in the eye of the beholder.,Different people have different tastes.
ENG1921,"Be swift to hear, slow to speak.",Listen carefully before speaking.
ENG1922,Beggars can't be choosers.,You should not reject an offer if you have no other choice.
ENG1923,The best advice is found on the pillow.,A good night's sleep may help us find an answer to our problem.
ENG1924,The best helping hand is at the end of your sleeve.,The best way to get something done is to do it yourself.
ENG1925,The best things in life are free.,"You don't have to pay for what is important: happiness, friendship, good health."
ENG1926,Charity begins at home.,A person's first duty is to help and care for his own family.
ENG1927,Children are certain cares but uncertain comforts.,Children are bound to cause anxiety but do not always bring joy.
ENG1928,Cleanliness is next to godliness.,A clean body is just as important as a pure soul.
ENG1929,A closed mouth catches no flies.,If you learn when to keep silent you will avoid trouble.
ENG1930,Constant occupation prevents temptation.,"When you are busy working, you avoid temptation."
ENG1931,Crosses are ladders that lead to heaven.,Suffering and misfortune often show the best in a person's character.
ENG1932,The darkest hour is just before dawn.,The most difficult moment is just before a problem is solved.
ENG1933,The devil looks after his own.,Success comes to those who deserve it least.
ENG1934,The devil makes work for idle hands.,"People who have no work, or are idle, often get into trouble."
ENG1935,The die is cast.,A decision has been made and it is impossible to change it.
ENG1936,Discretion is the better part of valour.,It is sometimes better to avoid a dangerous situation than to confront it.
ENG1937,Diseases of the soul are more dangerous than those of the body.,Mental and emotional disorder or spiritual torment is worse than bodily pain.
ENG1938,Distance makes the heart grow fonder.,"When you are separated from the person you love, your feelings are even stronger."
ENG1939,Don't bite off more than you can chew.,Trying to do more than you can deal with can lead to difficulty.
ENG1940,Don't count your chickens before they're hatched.,You must not be too confident that something will be successful.
ENG1941,Don't dig your grave with your own knife and fork.,Don't do something yourself that causes your own downfall.
ENG1942,A hot potato.,Controversial issue.
ENG1943,Can't judge a book by its cover.,Looks can be deceiving.
ENG1944,Drastic times call for drastic measures.,Extreme actions needed.
ENG1945,"No pain, no gain.",Effort brings rewards.
ENG1946,A storm in a teacup.,An overreaction.
ENG1947,All bark and no bite.,"All talk, no action."
ENG1948,Cry me a river.,Exaggerate sadness.
ENG1949,Cut the mustard.,Reach standard.
ENG1950,Early bird gets the worm.,"First come, first served."
ENG1951,Justice delayed is justice denied.,"If the law is applied too late, there is no justice."
ENG1952,Kill one to warn a hundred.,Warn many people by punishing a few.
ENG1953,Kindle not a fire you cannot put out.,Do not start something that you cannot control; you may fail or cause damage.
ENG1954,Kindness begets kindness.,"If you are kind to someone, they will return your kindness."
ENG1955,"Kindness, like a boomerang, always returns.","If you are kind to others, and serve as an example, you will receive kindness in return."
ENG1956,Knowledge in youth is wisdom in age.,What you learn when you are young will be invaluable when you grow old.
